name,temp,humidity,clouds,wind_speed,country code,lat,lng
yuancheng,84.458,75.333,98.458,3.127,cn,23.733,114.683
minbu,86.779,66.833,72.417,7.475,mm,20.183,94.883
jonkoping,62.123,82.25,86.042,8.817,se,57.783,14.183
atasu,69.087,55.208,87.625,7.585,kz,48.681,71.643
saint-gaudens,71.53,79.417,28.125,6.377,fr,43.11,0.725
kristiansand,63.54,64.042,21.958,8.345,no,58.167,8.0
arlit,93.809,24.333,7.375,5.055,ne,18.733,7.368
pilar,69.994,58.375,72.0,5.61,py,-26.867,-58.383
kingisepp,75.922,58.5,13.333,6.138,ru,59.373,28.613
novyy nekouz,71.339,55.583,1.75,5.775,ru,57.903,38.07
goderich,78.756,81.917,92.875,7.494,sl,8.432,-13.29
tabiauea,81.65,80.917,64.792,6.857,ki,0.9,173.033
meadow lake,71.952,61.5,49.583,8.874,ca,54.13,-108.435
cheltenham,59.713,89.708,57.417,5.195,gb,51.9,-2.083
luocheng,76.43,91.0,76.292,1.433,cn,29.385,104.029
ahipara,53.262,89.083,99.0,17.499,nz,-35.167,173.167
novobureyskiy,73.549,82.833,53.625,3.181,ru,49.798,129.877
cheyenne,66.808,48.042,1.0,7.571,us,41.14,-104.82
liliani,102.435,31.0,38.417,7.2,pk,32.207,72.954
rio gallegos,36.125,68.083,6.458,28.818,ar,-51.623,-69.218
artesia,79.712,69.625,28.458,8.95,us,32.842,-104.403
charlottetown,64.312,78.542,58.542,4.771,ca,46.233,-63.133
marck,61.644,82.458,61.25,4.167,fr,50.949,1.943
fort frances,71.619,61.583,27.667,5.493,ca,48.617,-93.417
griffith,48.634,81.208,54.5,7.098,au,-34.289,146.051
sungurlu,73.534,55.25,17.0,5.925,tr,40.167,34.374
certeju de sus,74.195,63.208,65.042,3.718,ro,45.967,22.967
nabire,78.316,87.042,95.875,2.598,id,-3.367,135.483
kribi,78.058,82.792,58.542,6.179,cm,2.95,9.917
powassan,66.84,67.667,34.5,5.031,ca,46.067,-79.35
pocone,76.545,27.25,71.917,2.682,br,-16.26,-56.627
mubi,77.834,70.75,64.042,5.95,ng,10.268,13.264
ende,78.419,68.5,34.417,3.068,id,-8.843,121.662
bababe,88.015,45.542,90.333,11.1,mr,16.333,-13.95
misratah,81.162,64.583,0.0,14.996,ly,32.378,15.091
mchinji,59.111,59.792,36.917,4.787,mw,-13.717,32.9
shimonoseki,80.488,79.667,66.875,5.561,jp,33.95,130.95
north battleford,73.625,54.75,29.667,10.455,ca,52.767,-108.283
vaxjo,63.058,80.875,69.875,5.587,se,56.883,14.817
piryion,82.803,49.5,0.0,11.648,gr,38.226,25.995
trogir,78.72,52.25,5.833,7.941,hr,43.513,16.252
ponta delgada,67.925,80.0,44.167,15.153,pt,37.733,-25.667
sontra,62.326,92.0,66.833,3.622,de,51.067,9.933
sivas,63.093,73.083,20.167,9.198,tr,39.748,37.016
basoko,75.298,82.5,96.167,2.851,cd,1.233,23.6
manono,75.836,24.625,2.792,5.583,cd,-7.3,27.417
alexander city,76.417,93.333,63.875,5.799,us,32.944,-85.954
bundibugyo,72.055,78.458,94.25,2.463,ug,0.741,30.042
dzialdowo,67.925,76.5,3.333,5.131,pl,53.24,20.17
afmadu,80.582,62.958,60.25,14.08,so,0.517,42.071
moosomin,74.825,54.5,0.0,9.157,ca,50.15,-101.667
energetik,66.816,73.417,58.708,10.797,ru,51.745,58.793
zachary,80.729,83.417,48.5,8.401,us,30.648,-91.156
ghanzi,58.473,27.625,0.0,7.248,bw,-21.567,21.783
zeya,66.847,73.208,59.208,3.785,ru,53.75,127.267
hebi,77.47,87.625,71.792,4.648,cn,35.899,114.192
nsanje,71.999,64.375,20.042,4.798,mw,-16.917,35.267
evensk,50.628,93.833,99.458,7.208,ru,61.95,159.233
kulu,76.49,84.75,79.292,2.83,in,31.967,77.1
tipp city,71.762,77.292,85.625,9.063,us,39.958,-84.172
calmar,68.138,69.0,71.458,7.576,ca,53.25,-113.783
mariestad,62.414,74.167,77.875,8.586,se,58.7,13.817
